dataset,seed,n,phi_dim,method,cate_learner,outcome_source,ate_calibration,observed_ate,raw_tau_hat_mean,train_tau_hat_mean,standardized_representation,cate_feature_dim,tau_true_mean,tau_true_std,tau_hat_mean,tau_hat_std,pehe,pehe_norm,pearson,spearman,policy_norm_20
semisynthetic_predicted_phi5,0,100,5,encoder_pred,econml_dml,predicted,none,0.0799999833106994,0.0809617670085898,0.0557441647631044,True,5,0.08481841,0.13307382,0.0809617670085898,0.2542735510072623,0.2378367183596019,1.78725400953848,0.3814187602220073,0.4320107656550755,0.40167714641655
semisynthetic_predicted_phi5,0,100,5,mi_mine_cond,econml_dml,predicted,none,0.0799999833106994,0.0451930060322683,0.0295541121122323,True,5,0.08481841,0.13307382,0.0451930060322683,0.1985566088073536,0.1851047573853069,1.3909930396926076,0.4624770117254528,0.6429067552298791,0.4783282627982569
semisynthetic_predicted_phi5,0,100,5,mi_infonce_cond,econml_dml,predicted,none,0.0799999833106994,0.0518471448016517,0.0305477546400638,True,5,0.08481841,0.13307382,0.0518471448016517,0.2079324090571747,0.2015312185607118,1.514431753448663,0.3869989566012303,0.5792552139170671,0.5613780877134613
semisynthetic_predicted_phi5,0,100,5,autoencoder,econml_dml,predicted,none,0.0799999833106994,0.0504772829935882,0.0566668675247105,True,5,0.08481841,0.13307382,0.0504772829935882,0.0701477416136003,0.1415586383071571,1.0637602370410433,0.201921895542372,0.4064209159359457,0.2488339591717578
semisynthetic_predicted_phi5,0,100,5,pls,econml_dml,predicted,none,0.0799999833106994,0.0714389253432836,0.0527871040901767,True,5,0.08481841,0.13307382,0.0714389253432836,0.2365072661794076,0.2340772512987052,1.7590030202687894,0.3023420865265052,0.5374960467089416,0.3991279254930062
semisynthetic_predicted_phi5,0,100,5,pca,econml_dml,predicted,none,0.0799999833106994,0.0705053120379414,0.0803284076868027,True,5,0.08481841,0.13307382,0.0705053120379414,0.0905162701509488,0.147395637708724,1.1076231050459364,0.1818639190553623,0.2726581805040572,0.1655363656070635
semisynthetic_predicted_phi5,0,100,5,ica,econml_dml,predicted,none,0.0799999833106994,0.0605940302904263,0.0584533739874036,True,5,0.08481841,0.13307382,0.0605940302904263,0.0902810933405567,0.1360596459269292,1.022437365418151,0.3301930215181377,0.5896334191684204,0.3766664442468501
semisynthetic_predicted_phi5,0,100,5,raw_x,econml_dml,predicted,none,0.0799999833106994,0.1101427420908438,0.0029789613586267,True,205,0.08481841,0.13307382,0.1101427420908438,0.5886368205204403,0.6106649181542093,4.588918527733023,-0.0515010179160715,-0.0960766200526372,0.0467590786971591
semisynthetic_predicted_phi5,0,100,5,raw_x_s,econml_dml,predicted,none,0.0799999833106994,0.1884897918915342,0.0649637723528152,True,205,0.08481841,0.13307382,0.1884897918915342,0.7319038643221878,0.7297650432623372,5.483911435489994,0.1621331648382987,0.1529630439066702,0.2084006713170193
semisynthetic_predicted_phi5,0,250,5,encoder_pred,econml_dml,predicted,none,0.1334276795387268,0.01838636714226,0.0110295569301478,True,5,0.08481841,0.13307382,0.01838636714226,0.0932427083195662,0.1518000783245344,1.1407208294203504,0.3132130583323111,0.3411764245600106,0.5226790816006929
semisynthetic_predicted_phi5,0,250,5,mi_mine_cond,econml_dml,predicted,none,0.1334276795387268,0.034196957683624,0.0319338645180488,True,5,0.08481841,0.13307382,0.034196957683624,0.0749357104514978,0.1372148220404589,1.0311180819823085,0.3539230036682183,0.4341387217515495,0.5219844862507337
semisynthetic_predicted_phi5,0,250,5,mi_infonce_cond,econml_dml,predicted,none,0.1334276795387268,0.004073777180986,0.0010251466048654,True,5,0.08481841,0.13307382,0.004073777180986,0.0663861376796086,0.1548849182325986,1.16390224788466,0.2629604013800941,0.44271882119523,0.4669537616866738
semisynthetic_predicted_phi5,0,250,5,autoencoder,econml_dml,predicted,none,0.1334276795387268,0.0459775307880401,0.0433739656014904,True,5,0.08481841,0.13307382,0.0459775307880401,0.1172848026782808,0.1664909908686758,1.2511175441471192,0.1683075065375865,0.2711422468727786,0.2544418368117882
semisynthetic_predicted_phi5,0,250,5,pls,econml_dml,predicted,none,0.1334276795387268,0.0720451085018171,0.0631026897027944,True,5,0.08481841,0.13307382,0.0720451085018171,0.1110214016226079,0.1425826508056116,1.0714553080809708,0.333955289161054,0.5749904836649494,0.4137890581438554
semisynthetic_predicted_phi5,0,250,5,pca,econml_dml,predicted,none,0.1334276795387268,0.0242416460947273,0.0149471818653923,True,5,0.08481841,0.13307382,0.0242416460947273,0.1049305520406645,0.1598857330096315,1.201481501091887,0.2443927132580385,0.4389451507060361,0.2828053036389484
semisynthetic_predicted_phi5,0,250,5,ica,econml_dml,predicted,none,0.1334276795387268,0.0248562956918211,0.0198552217413252,True,5,0.08481841,0.13307382,0.0248562956918211,0.1219479768863355,0.17598343255753,1.322449694143672,0.1603774780568131,0.2440840099518048,0.2604641003547673
semisynthetic_predicted_phi5,0,250,5,raw_x,econml_dml,predicted,none,0.1334276795387268,-0.0515188585532929,-0.0359698167696403,True,242,0.08481841,0.13307382,-0.0515188585532929,0.4623848138956467,0.5049639498600133,3.794615273387457,-0.0397552172085627,-0.0282141144396147,0.0908557394950604
semisynthetic_predicted_phi5,0,250,5,raw_x_s,econml_dml,predicted,none,0.1334276795387268,-0.007169038140163,-0.0014787572136004,True,242,0.08481841,0.13307382,-0.007169038140163,0.4586666262682095,0.4714616519825321,3.5428580315987928,0.1168916377905044,0.1918231911352845,0.2568236171113778
semisynthetic_predicted_phi5,0,500,5,encoder_pred,econml_dml,predicted,none,0.0344794392585754,-0.0137021364013846,-0.0138891586000477,True,5,0.08481841,0.13307382,-0.0137021364013846,0.0542304391638145,0.1697473083671776,1.2755875525868097,0.1068176273358718,0.2075158887195229,0.3394450258903912
semisynthetic_predicted_phi5,0,500,5,mi_mine_cond,econml_dml,predicted,none,0.0344794392585754,-0.004248309457912,-0.0082387914338868,True,5,0.08481841,0.13307382,-0.004248309457912,0.0463337274264357,0.1530906017802526,1.1504186306536672,0.352881985633087,0.4706648621037649,0.5423986073577309
semisynthetic_predicted_phi5,0,500,5,mi_infonce_cond,econml_dml,predicted,none,0.0344794392585754,-0.0287031418104458,-0.0284226531854573,True,5,0.08481841,0.13307382,-0.0287031418104458,0.0261181364289927,0.169481619575039,1.2735910006569209,0.3674030650953303,0.5442013843048094,0.483882851899822
semisynthetic_predicted_phi5,0,500,5,autoencoder,econml_dml,predicted,none,0.0344794392585754,-0.0346657193852684,-0.0343028070734113,True,5,0.08481841,0.13307382,-0.0346657193852684,0.0298155354456472,0.1803364069572061,1.3551606691474407,0.0444650430702343,-0.0418389531596488,0.1571604810354391
semisynthetic_predicted_phi5,0,500,5,pls,econml_dml,predicted,none,0.0344794392585754,0.0071672858908049,0.0066641187796987,True,5,0.08481841,0.13307382,0.0071672858908049,0.0485915156981513,0.1583441948678368,1.18989741834898,0.0793805058444059,0.0894060359273601,0.2780966783192254
semisynthetic_predicted_phi5,0,500,5,pca,econml_dml,predicted,none,0.0344794392585754,0.0013949296357105,0.0012112762942498,True,5,0.08481841,0.13307382,0.0013949296357105,0.0454016015926891,0.1587434474017067,1.1928976518574932,0.12661381639404,0.0511052039171186,0.2381590595027461
semisynthetic_predicted_phi5,0,500,5,ica,econml_dml,predicted,none,0.0344794392585754,-0.0060115759466249,-0.0058558833535801,True,5,0.08481841,0.13307382,-0.0060115759466249,0.046933050515803,0.1656176637886805,1.2445548176845045,0.0586199085249612,-0.098424820974858,0.1574796523742942
semisynthetic_predicted_phi5,0,500,5,raw_x,econml_dml,predicted,none,0.0344794392585754,-0.0060274819736825,-0.0013655775049185,True,260,0.08481841,0.13307382,-0.0060274819736825,0.2268066766790687,0.2761876244788347,2.0754467293328975,0.0186084568430857,0.0411429229265256,0.1089348148117897
semisynthetic_predicted_phi5,0,500,5,raw_x_s,econml_dml,predicted,none,0.0344794392585754,0.0321360191660175,0.0167886813899703,True,260,0.08481841,0.13307382,0.0321360191660175,0.3414313045889915,0.3548959387722978,2.666910281618862,0.1222421618409429,0.2220141031441989,0.2425998588677101
semisynthetic_predicted_phi5,0,750,5,encoder_pred,econml_dml,predicted,none,0.1015726923942565,0.0402746329548979,0.0394620792589364,True,5,0.08481841,0.13307382,0.0402746329548979,0.0312370792752369,0.1384477160063368,1.0403828191475737,0.1805188671587507,0.1844564974170436,0.3638317449638214
semisynthetic_predicted_phi5,0,750,5,mi_mine_cond,econml_dml,predicted,none,0.1015726923942565,0.0515375478302631,0.0492128975380376,True,5,0.08481841,0.13307382,0.0515375478302631,0.0854360861263162,0.1231067726278139,0.9251013657518358,0.4820129207867879,0.5997105834112778,0.5603314850092886
semisynthetic_predicted_phi5,0,750,5,mi_infonce_cond,econml_dml,predicted,none,0.1015726923942565,0.0177403586688665,0.017418245718181,True,5,0.08481841,0.13307382,0.0177403586688665,0.0321144649012424,0.1402244452425146,1.0537342750250551,0.4184476081865531,0.6031008621580375,0.5120975192110451
semisynthetic_predicted_phi5,0,750,5,autoencoder,econml_dml,predicted,none,0.1015726923942565,0.0522786324987655,0.0505042357315454,True,5,0.08481841,0.13307382,0.0522786324987655,0.0904471469577723,0.1538170054831935,1.1558772828734725,0.1366090945639527,0.1555158486887509,0.2252111303091835
semisynthetic_predicted_phi5,0,750,5,pls,econml_dml,predicted,none,0.1015726923942565,0.0402455592556772,0.0398243595302927,True,5,0.08481841,0.13307382,0.0402455592556772,0.0634061760922042,0.1389887695508569,1.0444486342306616,0.2606068641979426,0.4302061870806958,0.4286586682041519
semisynthetic_predicted_phi5,0,750,5,pca,econml_dml,predicted,none,0.1015726923942565,0.0346750125678381,0.0339105750523876,True,5,0.08481841,0.13307382,0.0346750125678381,0.0745264447908791,0.1538966234266595,1.1564755819488723,0.1055214861380619,0.1652194260462646,0.2090005461251822
semisynthetic_predicted_phi5,0,750,5,ica,econml_dml,predicted,none,0.1015726923942565,0.057499760940466,0.0567346523688291,True,5,0.08481841,0.13307382,0.057499760940466,0.088471042326064,0.1512490058334923,1.136579725700309,0.1446429220183127,0.2657551016319042,0.2301130171515978
semisynthetic_predicted_phi5,0,750,5,raw_x,econml_dml,predicted,none,0.1015726923942565,0.0078648502323439,-0.0039421523361395,True,278,0.08481841,0.13307382,0.0078648502323439,0.1782988364068449,0.2404313455468735,1.806751662700248,-0.0502860374102522,-0.0878682832433031,0.0762953215232143
semisynthetic_predicted_phi5,0,750,5,raw_x_s,econml_dml,predicted,none,0.1015726923942565,0.0576769248188855,0.0472247205247474,True,278,0.08481841,0.13307382,0.0576769248188855,0.3347062621558849,0.3414017131883272,2.5655062219475417,0.1562444337145778,0.1349219164380098,0.2747092662313166
semisynthetic_predicted_phi5,0,1000,5,encoder_pred,econml_dml,predicted,none,0.1022775173187255,0.0182772237900964,0.0149151674559985,True,5,0.08481841,0.13307382,0.0182772237900964,0.0498302105966344,0.1361349123727835,1.0230029646160572,0.4589517777011942,0.616104371066532,0.5610229844861848
semisynthetic_predicted_phi5,0,1000,5,mi_mine_cond,econml_dml,predicted,none,0.1022775173187255,0.026484110930732,0.021427161729746,True,5,0.08481841,0.13307382,0.026484110930732,0.0678250733355629,0.1344594879233097,1.0104127763320367,0.4228139646739268,0.5883565174970377,0.550578892034457
semisynthetic_predicted_phi5,0,1000,5,mi_infonce_cond,econml_dml,predicted,none,0.1022775173187255,0.0085079864301917,0.0062933703550572,True,5,0.08481841,0.13307382,0.0085079864301917,0.064393741948631,0.1447762957819832,1.0879397298580835,0.3920064135136798,0.6294727232964947,0.5178103271870153
semisynthetic_predicted_phi5,0,1000,5,autoencoder,econml_dml,predicted,none,0.1022775173187255,0.0073005889245438,0.0071054567750914,True,5,0.08481841,0.13307382,0.0073005889245438,0.010079380588988,0.1535877214330511,1.154154298967679,0.0857601203988702,0.1912849622678893,0.1424110171978383
semisynthetic_predicted_phi5,0,1000,5,pls,econml_dml,predicted,none,0.1022775173187255,0.0266175002207937,0.0242499935342829,True,5,0.08481841,0.13307382,0.0266175002207937,0.0517963475275473,0.1431374543986351,1.0756244496373153,0.2386946093179364,0.4319600561590728,0.4749921631596243
semisynthetic_predicted_phi5,0,1000,5,pca,econml_dml,predicted,none,0.1022775173187255,0.0116299053994261,0.0111936314593057,True,5,0.08481841,0.13307382,0.0116299053994261,0.0498274754898368,0.1492069733511092,1.1212346151264705,0.247729467376954,0.2928868403802731,0.3129340109387076
