dataset,seed,n,phi_dim,method,cate_learner,outcome_source,ate_calibration,observed_ate,raw_tau_hat_mean,train_tau_hat_mean,standardized_representation,cate_feature_dim,tau_true_mean,tau_true_std,tau_hat_mean,tau_hat_std,pehe,pehe_norm,pearson,spearman,policy_norm_20
semisynthetic_true_phi5,0,100,5,encoder_pred,econml_dml,True,none,0.0799999833106994,0.0817178750735244,0.0643428734715185,True,5,0.08481841,0.13307382,0.0817178750735244,0.2771495162083585,0.2682075249762698,2.015479240190156,0.3063179087875251,0.4259261535862076,0.3671013821360615
semisynthetic_true_phi5,0,100,5,mi_mine_cond,econml_dml,True,none,0.0799999833106994,0.0480142723477604,0.0452766344968466,True,5,0.08481841,0.13307382,0.0480142723477604,0.2106557791497405,0.1951868071973281,1.4667558559366285,0.4519916170620326,0.6584474287297754,0.5431891747726394
semisynthetic_true_phi5,0,100,5,mi_infonce_cond,econml_dml,True,none,0.0799999833106994,0.0147794499576885,-0.0142315986656894,True,5,0.08481841,0.13307382,0.0147794499576885,0.3603331325674893,0.3567736154575077,2.6810202863093178,0.2624210098167073,0.3886148541379966,0.4960552978259527
semisynthetic_true_phi5,0,100,5,autoencoder,econml_dml,True,none,0.0799999833106994,0.0144808714099057,0.0093510825599792,True,5,0.08481841,0.13307382,0.0144808714099057,0.2660686904896096,0.2837977701802717,2.132634102123728,0.1822727896945378,0.3501967323928818,0.2467260648337736
semisynthetic_true_phi5,0,100,5,pls,econml_dml,True,none,0.0799999833106994,0.0214312725423056,0.0060394697065458,True,5,0.08481841,0.13307382,0.0214312725423056,0.2781623086589916,0.2761961721949123,2.0755109362725137,0.308196996407934,0.5253806003323299,0.3219995177024985
semisynthetic_true_phi5,0,100,5,pca,econml_dml,True,none,0.0799999833106994,0.0446205713952299,0.0513675701911601,True,5,0.08481841,0.13307382,0.0446205713952299,0.2025098777796358,0.2227125151485393,1.6736012565349592,0.1991537378976948,0.4045040811703967,0.2306620405979619
semisynthetic_true_phi5,0,100,5,ica,econml_dml,True,none,0.0799999833106994,0.0111828708906389,0.011046358849275,True,5,0.08481841,0.13307382,0.0111828708906389,0.2297257161157852,0.2500204271711555,1.878810002185894,0.2190761291345848,0.5064988090084003,0.3424733825726455
semisynthetic_true_phi5,0,100,5,raw_x,econml_dml,True,none,0.0799999833106994,0.1781770896088388,0.0566401640156854,True,205,0.08481841,0.13307382,0.1781770896088388,1.0690624042329642,1.0680626936604647,8.026091685849252,0.1003800978741839,0.0822528439951848,0.1804506682178527
semisynthetic_true_phi5,0,250,5,encoder_pred,econml_dml,True,none,0.1334276795387268,0.1304703136640922,0.1244132107819122,True,5,0.08481841,0.13307382,0.1304703136640922,0.125074261330201,0.1644467875807357,1.2357561053302215,0.2521481663873627,0.4783931351478253,0.3931561180939882
semisynthetic_true_phi5,0,250,5,mi_mine_cond,econml_dml,True,none,0.1334276795387268,0.1302900047934048,0.131445626103802,True,5,0.08481841,0.13307382,0.1302900047934048,0.0864186178869584,0.1434071732088231,1.077651272171837,0.2903841799158999,0.3821382346370245,0.3668582572961659
semisynthetic_true_phi5,0,250,5,mi_infonce_cond,econml_dml,True,none,0.1334276795387268,0.1205419535839276,0.1224229159576265,True,5,0.08481841,0.13307382,0.1205419535839276,0.0870475171153283,0.1510332795234039,1.134958608950999,0.1619093093006271,0.3049607046623921,0.3203617349825949
semisynthetic_true_phi5,0,250,5,autoencoder,econml_dml,True,none,0.1334276795387268,0.1551499850761585,0.1442288493384182,True,5,0.08481841,0.13307382,0.1551499850761585,0.1907761413373777,0.2198184581501004,1.65185350057324,0.2113369749752262,0.4088665723782422,0.2055672228984472
semisynthetic_true_phi5,0,250,5,pls,econml_dml,True,none,0.1334276795387268,0.186696126747645,0.1766662633623565,True,5,0.08481841,0.13307382,0.186696126747645,0.123728844729072,0.1783647435182162,1.340344338864516,0.3517311896573458,0.5810182829692186,0.4109282079551949
semisynthetic_true_phi5,0,250,5,pca,econml_dml,True,none,0.1334276795387268,0.1630553331212854,0.1501491193021734,True,5,0.08481841,0.13307382,0.1630553331212854,0.1982917675735255,0.2308307169646018,1.7346065069633194,0.1869537713138291,0.4291411492250318,0.243022149127415
semisynthetic_true_phi5,0,250,5,ica,econml_dml,True,none,0.1334276795387268,0.1542494291488223,0.1407272919061201,True,5,0.08481841,0.13307382,0.1542494291488223,0.2184145731704092,0.2403083190300457,1.8058271418481,0.2147950134636907,0.484393386505061,0.3270466471003098
semisynthetic_true_phi5,0,250,5,raw_x,econml_dml,True,none,0.1334276795387268,0.0315802447626366,0.0897189091284095,True,242,0.08481841,0.13307382,0.0315802447626366,0.7442727595790568,0.7602054963462459,5.712659987074839,-0.0173031151252541,0.0289758497074807,0.101765200950815
semisynthetic_true_phi5,0,500,5,encoder_pred,econml_dml,True,none,0.0344794392585754,0.0805180588856634,0.0794781963076353,True,5,0.08481841,0.13307382,0.0805180588856634,0.0758614692110345,0.133140824950966,1.0005035046433006,0.2850677555681587,0.3033375680505114,0.4870241750140516
semisynthetic_true_phi5,0,500,5,mi_mine_cond,econml_dml,True,none,0.0344794392585754,0.0763318332025563,0.0726580424162009,True,5,0.08481841,0.13307382,0.0763318332025563,0.1071119397664027,0.1295895921337828,0.9738173181884352,0.4370825075515259,0.5412935002475249,0.4648749158597691
semisynthetic_true_phi5,0,500,5,mi_infonce_cond,econml_dml,True,none,0.0344794392585754,0.0574298688137772,0.0579775170017354,True,5,0.08481841,0.13307382,0.0574298688137772,0.0869222144499137,0.130163845134306,0.9781326147159052,0.392131179266609,0.5394365797978863,0.4322321620240317
